checking,duration,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status,other_debtors,residence,property,age,other_installments,housing,existing_credits,job,dependents,telephone,foreign,target
< 0 DM,6,Critical/other existing credits,New car,666,>=1000 DM,4–7 years,3,Female: divorced/separated/married,None,4,Real estate,39,None,Own,2,Unskilled resident,1,Yes,Yes,Good
>= 200 DM,12,Existing paid duly,Furniture/equipment,2251,<100 DM,1–4 years,1,Female: divorced/separated/married,None,2,Car/other,46,None,Own,1,Unskilled resident,1,None,Yes,Good
0–200 DM,30,Existing paid duly,New car,2150,<100 DM,1–4 years,4,Female: divorced/separated/married,Guarantor,2,Unknown/no property,24,Bank,Own,1,Skilled employee/official,1,None,Yes,Bad
No checking account,24,Delay in past,Furniture/equipment,4151,100–500 DM,1–4 years,2,Male: single,None,3,Building society/life insurance,35,None,Own,2,Skilled employee/official,1,None,Yes,Good
0–200 DM,9,Existing paid duly,Furniture/equipment,2030,Unknown/no savings,4–7 years,2,Male: single,None,1,Car/other,24,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,60,Delay in past,Radio/TV,7418,Unknown/no savings,1–4 years,1,Male: single,None,1,Real estate,27,None,Own,1,Unskilled resident,1,None,Yes,Good
No checking account,24,Critical/other existing credits,Radio/TV,2684,<100 DM,1–4 years,4,Male: single,None,2,Real estate,35,None,Own,2,Unskilled resident,1,None,Yes,Good
< 0 DM,12,All paid,Radio/TV,2149,<100 DM,1–4 years,4,Male: divorced/separated,None,1,Unknown/no property,29,None,For free,1,Skilled employee/official,1,None,Yes,Bad
No checking account,15,Existing paid duly,Used car,3812,100–500 DM,<1 year,1,Female: divorced/separated/married,None,4,Car/other,23,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,11,Critical/other existing credits,Radio/TV,1154,100–500 DM,Unemployed,4,Female: divorced/separated/married,None,4,Real estate,57,None,Own,3,Unskilled resident,1,None,Yes,Good
< 0 DM,12,Existing paid duly,Furniture/equipment,1657,<100 DM,1–4 years,2,Male: single,None,2,Real estate,27,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,24,Existing paid duly,Radio/TV,1603,<100 DM,>=7 years,4,Female: divorced/separated/married,None,4,Car/other,55,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,18,Critical/other existing credits,New car,5302,<100 DM,>=7 years,2,Male: single,None,4,Unknown/no property,36,None,For free,3,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,12,Critical/other existing credits,Education,2748,<100 DM,>=7 years,2,Female: divorced/separated/married,None,4,Unknown/no property,57,Bank,For free,3,Unskilled resident,1,None,Yes,Good
No checking account,10,Critical/other existing credits,New car,1231,<100 DM,>=7 years,3,Male: single,None,4,Real estate,32,None,Own,2,Unskilled resident,2,None,No,Good
0–200 DM,15,Existing paid duly,Radio/TV,802,<100 DM,>=7 years,4,Male: single,None,3,Car/other,37,None,Own,1,Skilled employee/official,2,None,Yes,Bad
No checking account,36,Critical/other existing credits,Business,6304,Unknown/no savings,>=7 years,4,Male: single,None,4,Real estate,36,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,24,Existing paid duly,Radio/TV,1533,<100 DM,<1 year,4,Female: divorced/separated/married,None,3,Car/other,38,Stores,Own,1,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,14,Existing paid duly,New car,8978,<100 DM,>=7 years,1,Male: divorced/separated,None,4,Building society/life insurance,45,None,Own,1,Management/self-employed/highly qualified,1,Yes,No,Bad
No checking account,24,Existing paid duly,Radio/TV,999,Unknown/no savings,>=7 years,4,Male: single,None,2,Car/other,25,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,18,Existing paid duly,New car,2662,Unknown/no savings,4–7 years,4,Male: single,None,3,Building society/life insurance,32,None,Own,1,Skilled employee/official,1,None,No,Good
No checking account,12,Critical/other existing credits,Furniture/equipment,1402,500–1000 DM,4–7 years,3,Female: divorced/separated/married,None,4,Car/other,37,None,Rent,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,48,All paid,New car,12169,Unknown/no savings,Unemployed,4,Male: single,Co-applicant,4,Unknown/no property,36,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,48,Existing paid duly,Radio/TV,3060,<100 DM,4–7 years,4,Male: single,None,4,Real estate,28,None,Own,2,Skilled employee/official,1,None,Yes,Bad
< 0 DM,30,Existing paid duly,Repairs,11998,<100 DM,<1 year,1,Male: divorced/separated,None,1,Unknown/no property,34,None,Own,1,Unskilled resident,1,Yes,Yes,Bad
No checking account,9,Existing paid duly,Radio/TV,2697,<100 DM,1–4 years,1,Male: single,None,2,Real estate,32,None,Own,1,Skilled employee/official,2,None,Yes,Good
No checking account,18,Critical/other existing credits,Radio/TV,2404,<100 DM,1–4 years,2,Female: divorced/separated/married,None,2,Car/other,26,None,Own,2,Skilled employee/official,1,None,Yes,Good
< 0 DM,12,Existing paid duly,Furniture/equipment,1262,Unknown/no savings,>=7 years,2,Male: divorced/separated,None,4,Building society/life insurance,49,None,Own,1,Unskilled resident,1,Yes,Yes,Good
No checking account,6,Existing paid duly,Furniture/equipment,4611,<100 DM,<1 year,1,Female: divorced/separated/married,None,4,Building society/life insurance,32,None,Own,1,Skilled employee/official,1,None,Yes,Bad
No checking account,24,Existing paid duly,Radio/TV,1901,100–500 DM,1–4 years,4,Male: single,None,4,Car/other,29,None,Rent,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,15,Critical/other existing credits,Used car,3368,>=1000 DM,>=7 years,3,Male: single,None,4,Unknown/no property,23,None,Rent,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,12,Existing paid duly,Furniture/equipment,1574,<100 DM,1–4 years,4,Male: single,None,2,Real estate,50,None,Own,1,Skilled employee/official,1,None,Yes,Good
>= 200 DM,18,All paid,Radio/TV,1445,Unknown/no savings,4–7 years,4,Male: single,None,4,Car/other,49,Bank,Own,1,Unskilled resident,1,None,Yes,Good
No checking account,15,Critical/other existing credits,Furniture/equipment,1520,Unknown/no savings,>=7 years,4,Male: single,None,4,Building society/life insurance,63,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,24,Critical/other existing credits,New car,3878,100–500 DM,<1 year,4,Male: divorced/separated,None,2,Car/other,37,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,47,Existing paid duly,New car,10722,<100 DM,<1 year,1,Female: divorced/separated/married,None,1,Real estate,35,None,Own,1,Unskilled resident,1,Yes,Yes,Good
< 0 DM,48,Existing paid duly,Used car,4788,<100 DM,4–7 years,4,Male: single,None,3,Building society/life insurance,26,None,Own,1,Skilled employee/official,2,None,Yes,Good
0–200 DM,48,Delay in past,Other,7582,100–500 DM,Unemployed,2,Male: single,None,4,Unknown/no property,31,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,12,Existing paid duly,Radio/TV,1092,<100 DM,1–4 years,4,Female: divorced/separated/married,Guarantor,4,Real estate,49,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,24,Delay in past,Radio/TV,1024,<100 DM,<1 year,4,Male: married/widowed,None,4,Real estate,48,Stores,Own,1,Skilled employee/official,1,None,Yes,Bad
No checking account,12,Existing paid duly,Business,1076,<100 DM,1–4 years,2,Male: married/widowed,None,2,Real estate,26,None,Own,1,Skilled employee/official,1,Yes,No,Good
0–200 DM,36,Existing paid duly,Used car,9398,<100 DM,<1 year,1,Male: married/widowed,None,4,Car/other,28,None,Rent,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
< 0 DM,24,Critical/other existing credits,Used car,6419,<100 DM,>=7 years,2,Female: divorced/separated/married,None,4,Unknown/no property,44,None,For free,2,Management/self-employed/highly qualified,2,Yes,Yes,Good
>= 200 DM,42,Critical/other existing credits,Used car,4796,<100 DM,>=7 years,4,Male: single,None,4,Unknown/no property,56,None,For free,1,Skilled employee/official,1,None,Yes,Good
No checking account,48,Critical/other existing credits,Business,7629,Unknown/no savings,>=7 years,4,Male: divorced/separated,None,2,Car/other,46,Bank,Own,2,Management/self-employed/highly qualified,2,None,Yes,Good
0–200 DM,48,Existing paid duly,Furniture/equipment,9960,<100 DM,<1 year,1,Female: divorced/separated/married,None,2,Car/other,26,None,Own,1,Skilled employee/official,1,Yes,Yes,Bad
No checking account,12,Existing paid duly,Used car,4675,Unknown/no savings,<1 year,1,Female: divorced/separated/married,None,4,Car/other,20,None,Rent,1,Skilled employee/official,1,None,Yes,Good
No checking account,10,Existing paid duly,New car,1287,Unknown/no savings,>=7 years,4,Male: single,Co-applicant,2,Building society/life insurance,45,None,Own,1,Unskilled resident,1,None,No,Good
No checking account,18,Existing paid duly,Furniture/equipment,2515,<100 DM,1–4 years,3,Male: single,None,4,Real estate,43,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,21,Critical/other existing credits,Furniture/equipment,2745,>=1000 DM,4–7 years,3,Male: single,None,2,Car/other,32,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,6,Existing paid duly,New car,672,<100 DM,Unemployed,1,Female: divorced/separated/married,None,4,Real estate,54,None,Own,1,Unemployed/unskilled non-resident,1,Yes,Yes,Good
0–200 DM,36,No credits/all paid,Radio/TV,3804,<100 DM,1–4 years,4,Female: divorced/separated/married,None,1,Car/other,42,None,Own,1,Skilled employee/official,1,Yes,Yes,Bad
>= 200 DM,24,Critical/other existing credits,New car,1344,Unknown/no savings,4–7 years,4,Male: single,None,2,Real estate,37,Bank,Own,2,Unskilled resident,2,None,Yes,Bad
< 0 DM,10,Critical/other existing credits,New car,1038,<100 DM,4–7 years,4,Male: single,Co-applicant,3,Building society/life insurance,49,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,48,Critical/other existing credits,New car,10127,500–1000 DM,1–4 years,2,Male: single,None,2,Unknown/no property,44,Bank,For free,1,Skilled employee/official,1,None,Yes,Bad
No checking account,6,Existing paid duly,Furniture/equipment,1543,>=1000 DM,1–4 years,4,Male: divorced/separated,None,2,Real estate,33,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,30,Existing paid duly,Used car,4811,Unknown/no savings,4–7 years,2,Female: divorced/separated/married,None,4,Building society/life insurance,24,Stores,Rent,1,Unskilled resident,1,None,Yes,Good
< 0 DM,12,Existing paid duly,Radio/TV,727,100–500 DM,<1 year,4,Male: married/widowed,None,3,Unknown/no property,33,None,Own,1,Unskilled resident,1,Yes,Yes,Bad
0–200 DM,8,Existing paid duly,Furniture/equipment,1237,<100 DM,1–4 years,3,Female: divorced/separated/married,None,4,Real estate,24,None,Own,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,9,Existing paid duly,New car,276,<100 DM,1–4 years,4,Male: married/widowed,None,4,Real estate,22,None,Rent,1,Unskilled resident,1,None,Yes,Good
0–200 DM,48,Existing paid duly,Other,5381,Unknown/no savings,Unemployed,3,Male: single,None,4,Unknown/no property,40,Bank,For free,1,Unemployed/unskilled non-resident,1,Yes,Yes,Good
No checking account,24,Existing paid duly,Furniture/equipment,5511,100–500 DM,1–4 years,4,Male: single,None,1,Car/other,25,Stores,Own,1,Skilled employee/official,1,None,Yes,Good
>= 200 DM,24,Existing paid duly,Furniture/equipment,3749,<100 DM,<1 year,2,Female: divorced/separated/married,None,4,Car/other,26,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,12,Existing paid duly,New car,685,<100 DM,4–7 years,2,Male: married/widowed,None,3,Car/other,25,Bank,Own,1,Unskilled resident,1,None,Yes,Bad
>= 200 DM,4,Existing paid duly,New car,1494,Unknown/no savings,<1 year,1,Male: single,None,2,Real estate,29,None,Own,1,Unskilled resident,2,None,No,Good
< 0 DM,36,All paid,Furniture/equipment,2746,<100 DM,>=7 years,4,Male: single,None,4,Car/other,31,Bank,Own,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,12,Existing paid duly,Furniture/equipment,708,<100 DM,1–4 years,2,Male: single,Guarantor,3,Building society/life insurance,38,None,Own,1,Unskilled resident,2,None,Yes,Good
0–200 DM,24,Existing paid duly,Furniture/equipment,4351,Unknown/no savings,1–4 years,1,Female: divorced/separated/married,None,4,Building society/life insurance,48,None,Own,1,Unskilled resident,1,Yes,Yes,Good
No checking account,12,Critical/other existing credits,Education,701,<100 DM,1–4 years,4,Male: single,None,2,Car/other,32,None,Own,2,Skilled employee/official,1,None,Yes,Good
< 0 DM,15,Delay in past,Furniture/equipment,3643,<100 DM,>=7 years,1,Female: divorced/separated/married,None,4,Building society/life insurance,27,None,Own,2,Unskilled resident,1,None,Yes,Good
0–200 DM,30,Critical/other existing credits,New car,4249,<100 DM,Unemployed,4,Male: married/widowed,None,2,Car/other,28,None,Own,2,Management/self-employed/highly qualified,1,None,Yes,Bad
< 0 DM,24,Existing paid duly,Radio/TV,1938,<100 DM,<1 year,4,Male: divorced/separated,None,3,Building society/life insurance,32,None,Own,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,24,Existing paid duly,Used car,2910,<100 DM,4–7 years,2,Male: single,None,1,Unknown/no property,34,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
< 0 DM,18,Existing paid duly,Furniture/equipment,2659,>=1000 DM,1–4 years,4,Male: single,None,2,Car/other,28,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,18,Critical/other existing credits,New car,1028,<100 DM,1–4 years,4,Female: divorced/separated/married,None,3,Real estate,36,None,Own,2,Skilled employee/official,1,None,Yes,Good
< 0 DM,8,Critical/other existing credits,New car,3398,<100 DM,4–7 years,1,Male: single,None,4,Real estate,39,None,Own,2,Unskilled resident,1,None,No,Good
No checking account,12,Critical/other existing credits,Furniture/equipment,5801,Unknown/no savings,>=7 years,2,Male: single,None,4,Building society/life insurance,49,None,Rent,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,24,Existing paid duly,New car,1525,>=1000 DM,4–7 years,4,Female: divorced/separated/married,None,3,Car/other,34,None,Own,1,Skilled employee/official,2,Yes,Yes,Good
>= 200 DM,36,Existing paid duly,Radio/TV,4473,<100 DM,>=7 years,4,Male: single,None,2,Car/other,31,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,6,Existing paid duly,Radio/TV,1068,<100 DM,>=7 years,4,Male: single,None,4,Car/other,28,None,Own,1,Skilled employee/official,2,None,Yes,Good
< 0 DM,24,Critical/other existing credits,Used car,6615,<100 DM,Unemployed,2,Male: single,None,4,Unknown/no property,75,None,For free,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,18,Critical/other existing credits,Education,1864,100–500 DM,1–4 years,4,Female: divorced/separated/married,None,2,Real estate,30,None,Own,2,Skilled employee/official,1,None,Yes,Bad
0–200 DM,60,Existing paid duly,New car,7408,100–500 DM,<1 year,4,Female: divorced/separated/married,None,2,Building society/life insurance,24,None,Own,1,Management/self-employed/highly qualified,1,None,Yes,Bad
No checking account,48,Critical/other existing credits,Used car,11590,100–500 DM,1–4 years,2,Female: divorced/separated/married,None,4,Car/other,24,Bank,Rent,2,Unskilled resident,1,None,Yes,Bad
< 0 DM,24,No credits/all paid,Furniture/equipment,4110,<100 DM,>=7 years,3,Male: single,None,4,Unknown/no property,23,Bank,Rent,2,Skilled employee/official,2,None,Yes,Bad
< 0 DM,6,Critical/other existing credits,Furniture/equipment,3384,<100 DM,1–4 years,1,Male: divorced/separated,None,4,Real estate,44,None,Rent,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
0–200 DM,13,Existing paid duly,Radio/TV,2101,<100 DM,<1 year,2,Female: divorced/separated/married,Guarantor,4,Building society/life insurance,23,None,Own,1,Unskilled resident,1,None,Yes,Good
< 0 DM,15,Existing paid duly,Domestic appliances,1275,Unknown/no savings,1–4 years,4,Female: divorced/separated/married,None,2,Car/other,24,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,24,Existing paid duly,Furniture/equipment,4169,<100 DM,1–4 years,4,Male: single,None,4,Building society/life insurance,28,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,10,Existing paid duly,Furniture/equipment,1521,<100 DM,1–4 years,4,Male: divorced/separated,None,2,Car/other,31,None,Own,1,Unskilled resident,1,None,Yes,Good
0–200 DM,24,Critical/other existing credits,Education,5743,<100 DM,<1 year,2,Female: divorced/separated/married,None,4,Unknown/no property,24,None,For free,2,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,21,Existing paid duly,Furniture/equipment,3599,<100 DM,4–7 years,1,Female: divorced/separated/married,None,4,Car/other,26,None,Rent,1,Unskilled resident,1,None,Yes,Good
0–200 DM,18,Existing paid duly,Radio/TV,3213,500–1000 DM,<1 year,1,Male: married/widowed,None,3,Real estate,25,None,Rent,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,18,Existing paid duly,Business,4439,<100 DM,>=7 years,1,Male: single,Co-applicant,1,Real estate,33,Bank,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
>= 200 DM,10,Existing paid duly,New car,3949,<100 DM,<1 year,1,Male: single,Guarantor,1,Building society/life insurance,37,None,Own,1,Unskilled resident,2,None,Yes,Good
No checking account,15,Critical/other existing credits,Radio/TV,1459,<100 DM,1–4 years,4,Female: divorced/separated/married,None,2,Car/other,43,None,Own,1,Unskilled resident,1,None,Yes,Good
0–200 DM,13,Critical/other existing credits,Radio/TV,882,<100 DM,<1 year,4,Male: single,Guarantor,4,Real estate,23,None,Own,2,Skilled employee/official,1,None,Yes,Good
0–200 DM,24,Existing paid duly,Radio/TV,3758,500–1000 DM,Unemployed,1,Female: divorced/separated/married,None,4,Unknown/no property,23,None,Rent,1,Unemployed/unskilled non-resident,1,None,Yes,Good
No checking account,6,Delay in past,Business,1743,100–500 DM,1–4 years,1,Male: single,None,2,Real estate,34,None,Own,2,Unskilled resident,1,None,Yes,Good
0–200 DM,9,Critical/other existing credits,Education,1136,>=1000 DM,>=7 years,4,Male: single,None,3,Unknown/no property,32,None,For free,2,Skilled employee/official,2,None,Yes,Bad
No checking account,9,Existing paid duly,Domestic appliances,1236,<100 DM,<1 year,1,Female: divorced/separated/married,None,4,Real estate,23,None,Rent,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,9,Existing paid duly,Furniture/equipment,959,<100 DM,1–4 years,1,Female: divorced/separated/married,None,2,Car/other,29,None,Own,1,Skilled employee/official,1,None,No,Bad
No checking account,18,Critical/other existing credits,Used car,3229,Unknown/no savings,Unemployed,2,Male: single,None,4,Unknown/no property,38,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
< 0 DM,12,No credits/all paid,Radio/TV,6199,<100 DM,1–4 years,4,Male: single,None,2,Building society/life insurance,28,None,Rent,2,Skilled employee/official,1,Yes,Yes,Bad
No checking account,10,Existing paid duly,Education,727,500–1000 DM,>=7 years,4,Male: single,None,4,Unknown/no property,46,None,For free,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,24,Existing paid duly,New car,1246,<100 DM,<1 year,4,Male: single,None,2,Real estate,23,Stores,Own,1,Unskilled resident,1,None,Yes,Bad
No checking account,12,Critical/other existing credits,Radio/TV,2331,Unknown/no savings,>=7 years,1,Male: single,Co-applicant,4,Real estate,49,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,36,Delay in past,Radio/TV,4463,<100 DM,1–4 years,4,Male: single,None,2,Car/other,26,None,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Bad
No checking account,12,Existing paid duly,Radio/TV,776,<100 DM,1–4 years,4,Male: married/widowed,None,2,Real estate,28,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,30,Existing paid duly,Furniture/equipment,2406,<100 DM,4–7 years,4,Female: divorced/separated/married,None,4,Real estate,23,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,18,Existing paid duly,Education,1239,Unknown/no savings,1–4 years,4,Male: single,None,4,Unknown/no property,61,None,For free,1,Skilled employee/official,1,None,Yes,Good
>= 200 DM,12,Existing paid duly,Radio/TV,3399,Unknown/no savings,>=7 years,2,Male: single,None,3,Car/other,37,None,Own,1,Management/self-employed/highly qualified,1,None,Yes,Good
>= 200 DM,12,Delay in past,New car,2247,<100 DM,1–4 years,2,Female: divorced/separated/married,None,2,Car/other,36,Stores,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,6,Existing paid duly,Furniture/equipment,1766,<100 DM,1–4 years,1,Male: married/widowed,None,2,Building society/life insurance,21,None,Rent,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,18,Existing paid duly,Furniture/equipment,2473,<100 DM,Unemployed,4,Male: single,None,1,Car/other,25,None,Own,1,Unemployed/unskilled non-resident,1,None,Yes,Bad
No checking account,12,Existing paid duly,Business,1542,<100 DM,4–7 years,2,Male: single,None,4,Car/other,36,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,18,Critical/other existing credits,Used car,3850,<100 DM,4–7 years,3,Male: single,None,1,Car/other,27,None,Own,2,Skilled employee/official,1,None,Yes,Good
< 0 DM,18,Existing paid duly,Furniture/equipment,3650,<100 DM,<1 year,1,Female: divorced/separated/married,None,4,Car/other,22,None,Rent,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,36,Existing paid duly,Furniture/equipment,3446,<100 DM,>=7 years,4,Male: single,None,2,Car/other,42,None,Own,1,Skilled employee/official,2,None,Yes,Bad
0–200 DM,18,Existing paid duly,Furniture/equipment,3001,<100 DM,4–7 years,2,Female: divorced/separated/married,None,4,Real estate,40,None,Rent,1,Skilled employee/official,1,None,Yes,Good
No checking account,36,Existing paid duly,New car,3079,Unknown/no savings,1–4 years,4,Male: single,None,4,Real estate,36,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,18,Critical/other existing credits,Radio/TV,6070,<100 DM,>=7 years,3,Male: single,None,4,Car/other,33,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,10,Critical/other existing credits,Furniture/equipment,2146,<100 DM,<1 year,1,Female: divorced/separated/married,None,3,Real estate,23,None,Rent,2,Skilled employee/official,1,None,Yes,Good
No checking account,60,Critical/other existing credits,New car,13756,Unknown/no savings,>=7 years,2,Male: single,None,4,Unknown/no property,63,Bank,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,60,All paid,Other,14782,100–500 DM,>=7 years,3,Female: divorced/separated/married,None,4,Unknown/no property,60,Bank,For free,2,Management/self-employed/highly qualified,1,Yes,Yes,Bad
< 0 DM,48,All paid,Business,7685,<100 DM,4–7 years,2,Female: divorced/separated/married,Guarantor,4,Car/other,37,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
No checking account,18,Delay in past,Radio/TV,2320,<100 DM,Unemployed,2,Male: married/widowed,None,3,Real estate,34,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,7,Delay in past,Radio/TV,846,Unknown/no savings,>=7 years,3,Male: single,None,4,Unknown/no property,36,None,For free,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,36,Existing paid duly,New car,14318,<100 DM,>=7 years,4,Male: single,None,2,Unknown/no property,57,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
No checking account,6,Critical/other existing credits,New car,362,100–500 DM,1–4 years,4,Female: divorced/separated/married,None,4,Car/other,52,None,Own,2,Unskilled resident,1,None,Yes,Good
< 0 DM,20,Existing paid duly,Furniture/equipment,2212,Unknown/no savings,4–7 years,4,Male: single,None,4,Car/other,39,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,18,Existing paid duly,Used car,12976,<100 DM,Unemployed,3,Female: divorced/separated/married,None,4,Unknown/no property,38,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
No checking account,22,Existing paid duly,New car,1283,Unknown/no savings,4–7 years,4,Female: divorced/separated/married,None,4,Building society/life insurance,25,None,Rent,1,Skilled employee/official,1,None,Yes,Good
>= 200 DM,12,Existing paid duly,New car,1330,<100 DM,<1 year,4,Male: single,None,1,Real estate,26,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,30,Delay in past,Business,4272,100–500 DM,1–4 years,2,Male: single,None,2,Building society/life insurance,26,None,Own,2,Unskilled resident,1,None,Yes,Good
No checking account,18,Critical/other existing credits,Radio/TV,2238,<100 DM,1–4 years,2,Female: divorced/separated/married,None,1,Car/other,25,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,18,Existing paid duly,Radio/TV,1126,Unknown/no savings,<1 year,4,Female: divorced/separated/married,None,2,Real estate,21,None,Rent,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,18,Critical/other existing credits,Furniture/equipment,7374,<100 DM,Unemployed,4,Male: single,None,4,Building society/life insurance,40,Stores,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,15,Critical/other existing credits,Business,2326,500–1000 DM,1–4 years,2,Male: single,None,4,Car/other,27,Bank,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,9,Existing paid duly,Business,1449,<100 DM,4–7 years,3,Female: divorced/separated/married,None,2,Car/other,27,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,18,Existing paid duly,New car,1820,<100 DM,1–4 years,2,Male: married/widowed,None,2,Building society/life insurance,30,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,12,Existing paid duly,Furniture/equipment,983,>=1000 DM,<1 year,1,Female: divorced/separated/married,None,4,Real estate,19,None,Rent,1,Unskilled resident,1,None,Yes,Good
< 0 DM,36,Existing paid duly,New car,3249,<100 DM,4–7 years,2,Male: single,None,4,Unknown/no property,39,Bank,For free,1,Management/self-employed/highly qualified,2,Yes,Yes,Good
< 0 DM,6,Critical/other existing credits,Radio/TV,1957,<100 DM,4–7 years,1,Female: divorced/separated/married,None,4,Car/other,31,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,9,Critical/other existing credits,Furniture/equipment,2406,<100 DM,Unemployed,2,Male: single,None,3,Car/other,31,None,Own,1,Management/self-employed/highly qualified,1,None,Yes,Good
0–200 DM,39,Delay in past,Education,11760,100–500 DM,4–7 years,2,Male: single,None,3,Unknown/no property,32,None,Rent,1,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,12,Existing paid duly,Furniture/equipment,2578,<100 DM,Unemployed,3,Female: divorced/separated/married,None,4,Unknown/no property,55,None,For free,1,Management/self-employed/highly qualified,1,None,Yes,Good
< 0 DM,36,Critical/other existing credits,Furniture/equipment,2348,<100 DM,1–4 years,3,Male: married/widowed,None,2,Building society/life insurance,46,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,12,Existing paid duly,New car,1223,<100 DM,>=7 years,1,Male: divorced/separated,None,1,Real estate,46,None,Rent,2,Skilled employee/official,1,None,Yes,Bad
No checking account,24,Critical/other existing credits,Radio/TV,1516,>=1000 DM,1–4 years,4,Female: divorced/separated/married,None,1,Real estate,43,None,Own,2,Unskilled resident,1,None,Yes,Good
No checking account,18,Existing paid duly,Radio/TV,1473,<100 DM,<1 year,3,Male: married/widowed,None,4,Real estate,39,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,18,Critical/other existing credits,Business,1887,Unknown/no savings,1–4 years,4,Male: married/widowed,None,4,Real estate,28,Bank,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,24,Delay in past,Business,8648,<100 DM,<1 year,2,Male: single,None,2,Car/other,27,Bank,Own,2,Skilled employee/official,1,Yes,Yes,Bad
No checking account,14,Delay in past,New car,802,<100 DM,1–4 years,4,Male: single,None,2,Car/other,27,None,Own,2,Unskilled resident,1,None,Yes,Good
0–200 DM,18,Delay in past,New car,2899,Unknown/no savings,>=7 years,4,Male: single,None,4,Car/other,43,None,Own,1,Skilled employee/official,2,None,Yes,Good
